Disease,Analysis,Gene Name,P-value,LogFC,Direction,Pathway,Drug_ID
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL46912
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL47165
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33632
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL540
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL44149
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL43141
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33747
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL284963
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL5653589
Breast Cancer,RNA-Seq Differential Expression,PTGIS,1.27878388774104e-154,-5.3927135622887,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL3752910
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL174
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL29
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL702
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL1449
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL1276310
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL617
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL996
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL1436
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL1730
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL44354
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL186
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL148
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL127
Breast Cancer,RNA-Seq Differential Expression,FEZ1,1.20845279655565e-14,-4.89730320234416,Downregulated,nervous system development (GO:0007399),CHEMBL158
Breast Cancer,RNA-Seq Differential Expression,SDK1,2.6639223986644602e-09,-3.8487601926819,Downregulated,nervous system development (GO:0007399),CHEMBL1221600
Breast Cancer,RNA-Seq Differential Expression,SDK1,2.6639223986644602e-09,-3.8487601926819,Downregulated,nervous system development (GO:0007399),CHEMBL49689
Breast Cancer,RNA-Seq Differential Expression,SDK1,2.6639223986644602e-09,-3.8487601926819,Downregulated,nervous system development (GO:0007399),CHEMBL27266
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL427748
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL437472
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL411171
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL438733
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL2373291
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL1790962
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL1790963
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL2373292
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL414131
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL384792
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL267754
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL438745
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL410321
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL263294
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL407422
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL409339
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL441573
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL409433
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL411057
Breast Cancer,RNA-Seq Differential Expression,EDNRB,8.74485188577219e-33,-3.73894696982308,Downregulated,nervous system development (GO:0007399),CHEMBL263855
Breast Cancer,RNA-Seq Differential Expression,PDGFRA,0.0004141438987123,-2.66343537505545,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706); embryonic organ morphogenesis (GO:0048562),CHEMBL4577779
