Gene,Log2FC,P-Value,Direction,Pathway,Drug_ID,Target_ID
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL34041,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL47164,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL284827,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33690,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL267473,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL30395,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL284356,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL557333,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33407,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL286308,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL46912,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL47165,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33632,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL540,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL44149,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL43141,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL33747,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL284963,CHEMBL4428
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL5653589,CHEMBL6067066
PTGIS,-5.3927135622887,1.27878388774104e-154,Downregulated,prostaglandin metabolic process (GO:0006693),CHEMBL3752910,CHEMBL6067066
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL174,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL29,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL702,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL1449,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL1276310,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL617,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL996,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL1436,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL1730,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL44354,CHEMBL1287596
